Kilométrage,Année,Boite de vitesses,Carburant,Puissance fiscale,Nombre de portes,Première main,Véhicule dédouané,Importé neuf,Marque et Modèle,Prix
129000,2022,1,0,6,5,0,2022,0,125040.16393442624,189000.0
59000,2022,0,0,6,5,0,2022,0,119146.06741573034,167000.0
109000,2021,0,0,6,3,0,2021,0,119146.06741573034,139000.0
45000,2014,1,1,8,3,0,2019,0,145000.0,145000.0
119000,2021,1,0,8,5,0,2021,0,202339.2857142857,217000.0
79000,2017,0,0,6,5,0,2017,0,132614.13043478262,93000.0
249000,2012,0,0,8,5,0,2012,0,226148.11111111112,115000.0
94000,2019,1,0,8,5,1,2019,0,426333.3333333333,320000.0
44000,2020,1,0,11,5,1,2020,0,279139.2278481013,390000.0
74000,2017,1,1,8,3,1,2017,0,213170.73170731709,212000.0
199000,2018,1,0,8,5,0,2018,0,127479.98,189000.0
126000,2017,1,0,6,6,1,2019,0,288087.7192982456,210000.0
126000,2017,1,0,6,6,1,2019,0,288087.7192982456,210000.0
44000,2021,1,0,9,5,1,2021,0,213416.66666666666,245000.0
44000,2021,1,0,9,5,1,2021,0,213416.66666666666,245000.0
89000,2023,1,2,10,5,0,2023,0,222137.93103448275,228000.0
24000,2023,1,0,8,5,1,2023,0,300736.84210526315,310000.0
29000,2023,0,0,6,5,1,2023,0,171707.8947368421,163000.0
79000,2022,1,0,6,5,1,2022,0,197754.83870967742,189000.0
79000,2023,1,0,6,5,1,2023,0,155369.86301369863,275000.0
190000,2013,1,0,8,5,1,2016,0,190000.0,190000.0
74000,2018,1,0,8,5,1,2018,0,168326.92307692306,228000.0
109000,2020,0,0,6,5,0,2020,0,124778.45569620254,118000.0
14000,2024,0,0,6,5,1,2024,0,106125.0,138000.0
129000,2019,0,0,6,5,0,2019,0,119146.06741573034,118000.0
179000,2016,0,0,8,5,0,2016,0,169111.11111111112,117000.0
179000,2016,0,0,8,5,0,2016,0,169111.11111111112,117000.0
149000,2019,0,0,6,5,0,2019,0,135166.66666666666,139000.0
149000,2019,0,0,6,5,0,2019,0,135166.66666666666,139000.0
139000,2021,1,0,6,3,1,2021,0,288087.7192982456,315000.0
139000,2021,1,0,6,3,1,2021,0,288087.7192982456,315000.0
44000,2021,1,2,8,5,0,2021,0,125492.06349206349,200000.0
79000,2019,1,0,6,5,1,2019,0,126513.51351351352,135000.0
129000,2017,1,0,8,5,1,2017,0,127479.98,190000.0
129000,2019,1,0,10,5,0,2019,0,279225.77419354836,382000.0
79000,2020,1,0,8,5,1,2020,0,362920.0,430000.0
79000,2022,1,2,10,5,0,2022,0,278000.0,278000.0
79000,2022,1,2,10,5,0,2022,0,278000.0,278000.0
129000,2018,1,0,9,5,0,2018,0,468867.86666666664,295000.0
129000,2018,1,0,9,5,0,2018,0,468867.86666666664,295000.0
129000,2019,1,0,8,5,0,2019,0,355703.125,415000.0
129000,2019,1,0,8,5,0,2019,0,355703.125,415000.0
24000,2024,1,1,7,3,0,2024,0,132614.13043478262,159000.0
24000,2024,1,1,7,3,0,2024,0,132614.13043478262,159000.0
4000,2024,1,1,8,5,0,2024,0,213170.73170731709,283000.0
4000,2024,1,1,8,5,0,2024,0,213170.73170731709,283000.0
39000,2024,1,1,9,5,1,2024,0,176200.0,175000.0
39000,2024,1,1,9,5,1,2024,0,176200.0,175000.0
169000,2018,1,0,8,5,0,2021,0,278000.0,278000.0
99000,2020,1,0,8,5,0,2020,0,291659.6769823789,274000.0
99000,2021,0,0,6,5,0,2021,0,291659.6769823789,204000.0
249000,2016,0,0,8,5,0,2019,0,291659.6769823789,134000.0
66000,2020,1,1,11,2,0,2019,0,132614.13043478262,198000.0
109000,2016,1,1,11,3,0,2016,0,147714.2857142857,215000.0
149000,2017,1,0,8,5,1,2017,0,339814.81481481483,275000.0
34000,2017,1,0,11,5,1,2017,0,322300.0,318000.0
24000,2023,1,1,9,5,1,2023,0,126513.51351351352,147000.0
9000,2024,1,3,9,5,1,2024,0,291659.6769823789,305000.0
9000,2023,1,2,8,5,1,2023,0,291659.6769823789,310000.0
4000,2024,1,0,6,5,1,2024,0,291659.6769823789,339000.0
24000,2023,0,0,6,5,1,2023,0,152240.48648648648,159900.0
19000,2024,1,1,7,3,0,2024,0,132614.13043478262,162000.0
14000,2024,1,1,7,3,0,2024,0,132614.13043478262,162000.0
14000,2023,1,2,8,5,1,2023,0,197754.83870967742,236900.0
34000,2022,1,2,10,5,1,2022,0,222137.93103448275,244000.0
54000,2018,1,0,8,5,0,2018,0,346666.6535947712,455000.0
129000,2016,0,0,8,5,0,2016,0,167615.38461538462,168000.0
74000,2022,0,0,6,5,1,2022,0,119146.06741573034,162000.0
74000,2019,0,1,7,5,1,2019,0,101125.0,119000.0
24000,2022,1,1,6,5,1,2022,0,114831.21621621621,139000.0
24000,2023,1,0,6,5,0,2023,0,206752.688172043,290000.0
24000,2023,1,0,6,5,0,2023,0,206752.688172043,290000.0
129000,2019,1,0,6,5,0,2019,0,269750.0,200000.0
129000,2019,1,0,6,5,0,2019,0,269750.0,200000.0
54000,2017,1,0,8,5,0,2017,0,214083.33333333334,255000.0
54000,2017,1,0,8,5,0,2017,0,214083.33333333334,255000.0
24000,2023,1,2,8,5,0,2023,0,335416.6666666667,320000.0
24000,2023,1,2,8,5,0,2023,0,335416.6666666667,320000.0
69000,2023,1,0,6,5,1,2023,0,194826.08695652173,277000.0
69000,2023,1,0,6,5,1,2023,0,194826.08695652173,277000.0
119000,2022,1,0,6,5,1,2022,0,152780.64516129033,193000.0
19000,2023,1,0,8,5,1,2019,0,298229.85135135136,9.0
44000,2021,1,2,11,5,1,2021,0,308066.6666666667,432000.0
49000,2024,1,1,6,5,0,2024,0,93305.36257309941,144000.0
169000,2016,0,0,8,5,0,2016,0,341368.4210526316,160000.0
169000,2016,0,0,8,5,0,2016,0,341368.4210526316,160000.0
149000,2015,0,0,8,5,1,2015,0,355703.125,168000.0
149000,2015,0,0,8,5,1,2015,0,355703.125,168000.0
109000,2018,0,0,6,5,1,2018,0,165254.54545454544,155000.0
109000,2018,0,0,6,5,1,2018,0,165254.54545454544,155000.0
129000,2019,1,0,8,5,0,2019,0,355703.125,415000.0
129000,2019,1,0,8,5,0,2019,0,355703.125,415000.0
109000,2020,1,0,6,5,0,2020,0,206752.688172043,215000.0
109000,2020,1,0,6,5,0,2020,0,206752.688172043,215000.0
34000,2023,0,0,8,5,0,2023,0,152654.54545454544,229000.0
34000,2023,0,0,8,5,0,2023,0,152654.54545454544,229000.0
49000,2024,0,0,6,5,0,2024,0,114831.21621621621,159000.0
89000,2020,0,0,6,5,0,2020,0,122752.94117647059,158000.0
119000,2019,1,0,8,5,0,2019,0,212230.76923076922,260000.0
29000,2023,1,3,5,5,0,2023,0,82000.0,69000.0
79000,2020,1,0,8,5,0,2020,0,179333.33333333334,260000.0
179000,2018,1,0,8,5,0,2018,0,398363.54545454547,285000.0
19000,2024,1,2,9,5,1,2024,0,291659.6769823789,268000.0
30000,2021,0,1,6,5,1,2019,0,109432.43243243243,130000.0
139000,2016,1,0,8,5,0,2016,0,328673.9130434783,265000.0
64000,2023,0,0,6,5,1,2023,0,119146.06741573034,158000.0
49000,2023,0,0,6,5,1,2023,0,173000.0,172000.0
49000,2023,0,0,6,5,1,2023,0,173000.0,172000.0
99000,2022,0,0,6,5,1,2022,0,144526.7767857143,158000.0
